Reaction,Level 1: Baseline GEM_FVi,Level 1: Baseline GEM_FVR,Level 2: Single Enzyme_FVi,Level 2: Single Enzyme_FVR,Level 3a: + Isoenzymes_FVi,Level 3a: + Isoenzymes_FVR,Level 3b: + Complexes_FVi,Level 3b: + Complexes_FVR,Level 3c: + Promiscuous_FVi,Level 3c: + Promiscuous_FVR,Level 4: All Constraints_FVi,Level 4: All Constraints_FVR,Level 5: Post-Tuned_FVi,Level 5: Post-Tuned_FVR
CRNCBCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3PEPTtex,-1.000000000314189,0.3182798634811726,0.0,0.0,0.0,0.0,0.0,0.0,-1.0000054613645146,1.83105423323007e-05,0.0,0.0,-1.0000046811448924,2.13623953997235e-05
G1PACT,0.9645179469065506,4.054608695663754,-7.274697574898074e-10,1.2056459997022984e-10,9.79949955020184e-10,1.6240850331250556e-10,-7.274697574898074e-10,1.2056459997022984e-10,0.006663124456167566,6.006533504209974e-05,0.9998059413346975,38.313120037226426,0.002113259860353909,6.923195226020071e-05
METt3pp,0.9999999999946385,18.651199999996127,0.0,0.0,0.6735276219414313,2.06304627039719e-10,0.0,0.0,0.999999678053149,0.0003106101752219,0.9999999999994266,174.35785015919387,0.9999997055661523,0.000339634764511
FMNAT,0.9980267905070586,0.1780511195288881,-1.6606294135384635e-08,6.495400002365023e-12,1.3953540760818535e-08,5.457799983439246e-12,-1.6606294135384635e-08,6.495400002365023e-12,0.287611472337863,8.5322211588382e-06,0.9999896116747973,1.6894504839005848,0.10896473161768028,9.435279301935597e-06
GMHEPAT,0.9999999986370851,0.0733721479150098,0.0,0.0,0.0,0.0,0.0,0.0,0.9999808545668842,5.22307773619611e-06,0.9999999998572534,0.7005420569292129,0.9999923047597911,1.29949459355996e-05
ALCD2x,-1.000000000047182,2.119454545454092,0.0,0.0,-62.09598606792201,1.01636768737783e-10,0.0,0.0,-1.0000002083105761,0.0004800525380233,0.0,0.0,-1.0000001676369272,0.0005965273792298
EX_cm_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPAt4pp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HXAtex,-1.0000000001265335,0.7903050847457053,0.0,0.0,0.0,0.0,0.0,0.0,-1.000001354083064,7.38508131909271e-05,0.0,0.0,-1.0000005602753705,0.0001784837622763
